username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TashaMathur;2016-05-05 02:56;2;1;"Only a matter of time until @SadiqKhan 's name was brought up in discussing the importance of @BegumNadiya being a Muslim woman! #AHLitFest";;@SadiqKhan @BegumNadiya;#AHLitFest;"727934842667700224";https://twitter.com/TashaMathur/status/727934842667700224
jetset_jonny;2016-05-05 02:55;0;0;"@SadiqKhan so Mr Khan if I decide to vote for you tomorrow, will you take immediate action against Southern Rail and there franchise?";;@SadiqKhan;;"727934780592037888";https://twitter.com/jetset_jonny/status/727934780592037888
telescoper;2016-05-05 02:55;1;2;"Will be in that London tomorrow not to vote but on @SEPhysics business. I do hope you'll all behave while I am there and vote for @SadiqKhan";;@SEPhysics @SadiqKhan;;"727934758425137153";https://twitter.com/telescoper/status/727934758425137153
davidarodgers;2016-05-05 02:55;2;6;"Campaign Centre for @SadiqKhan set up+water&food for troops from @TheCooperative of course @CoopCrofts please note! pic.twitter.com/O0Ksvdq2MV";;@SadiqKhan @TheCooperative @CoopCrofts;;"727934735645851652";https://twitter.com/davidarodgers/status/727934735645851652
MarinaKim_;2016-05-05 02:55;0;0;"This is from the founding chairman of Quilliam Foundation: ("thanks", Sadiq Khan ) https:// twitter.com/MaajidNawaz/st atus/727885598678257664 …";;;;"727934700573106177";https://twitter.com/MarinaKim_/status/727934700573106177
massc0;2016-05-05 02:55;1;0;"@ecmagenda @QuilliamF @SadiqKhan @UKLabour Khan apologised only because he got caught,way too unsincere as an apology";;@ecmagenda @QuilliamF @SadiqKhan @UKLabour;;"727934669757546500";https://twitter.com/massc0/status/727934669757546500
nizzywhiz;2016-05-05 02:55;5;3;"Lets hope tomorrow London makes the right choice and votes for Sadiq Khan #ImVotingSadiq http:// fb.me/12KPowY9g";;;#ImVotingSadiq;"727934602648518656";https://twitter.com/nizzywhiz/status/727934602648518656
trafficbasher;2016-05-05 02:55;3;2;"Do the right thing tomorrow #London - elect @SadiqKhan as #LondonMayor2016";;@SadiqKhan;#London #LondonMayor2016;"727934572609064961";https://twitter.com/trafficbasher/status/727934572609064961
CllrRButler;2016-05-05 02:54;1;2;"Good luck to @Andrew_Dismore and @SadiqKhan tomorrow Bring it home for @UKLabour @HertsmereLabour";;@Andrew_Dismore @SadiqKhan @UKLabour @HertsmereLabour;;"727934430124376070";https://twitter.com/CllrRButler/status/727934430124376070
paulrogers002;2016-05-05 02:54;0;1;"@HuffPostUKPol @WarmStorm1 @SadiqKhan A horrific threat. I'd prefer WDM!";;@HuffPostUKPol @WarmStorm1 @SadiqKhan;;"727934405709303808";https://twitter.com/paulrogers002/status/727934405709303808
rosiejbest;2016-05-05 02:54;5;5;"#fact : When J worked in charity housing she wrote to MPs with Qs and requests for help. @SadiqKhan was the only one who ever wrote back.";;@SadiqKhan;#fact;"727934398532866048";https://twitter.com/rosiejbest/status/727934398532866048
metecoban92;2016-05-05 02:54;5;4;"You never guess what? #TeamStokey is out again Yes, you heard right. @SadiqKhan , we deserve Nando's. #JustSaying pic.twitter.com/duvPz5y0BJ";;@SadiqKhan;#TeamStokey #JustSaying;"727934340441722880";https://twitter.com/metecoban92/status/727934340441722880
LeroyLogan999;2016-05-05 02:54;4;3;"#TeamKhan is not easing up & still working very hard for @SadiqKhan @Sadiq4Mayor #PhoneBank #YesWeKhan #ReadyForKhan https:// twitter.com/teamkhan2016/s tatus/727931323957035011 …";;@SadiqKhan @Sadiq4Mayor;#TeamKhan #PhoneBank #YesWeKhan #ReadyForKhan;"727934327242272768";https://twitter.com/LeroyLogan999/status/727934327242272768
