username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mainlymum;2016-05-04 20:51;0;0;"@bryanadams @ZacGoldsmith Conservatives have abandoned every green energy policy!";;@bryanadams @ZacGoldsmith;;"727843153118674944";https://twitter.com/mainlymum/status/727843153118674944
QSalabanzi;2016-05-04 20:51;0;0;"I think sometimes if you are too interested in day-to-day politics, you los... #ZacGoldsmith #aphorism https:// openquotes.github.io/authors/zac-go ldsmith-quotes/#0479fcb8 …";;;#ZacGoldsmith #aphorism #0479fcb8;"727843084202053632";https://twitter.com/QSalabanzi/status/727843084202053632
JackDannyEsq;2016-05-04 20:51;0;0;"@bryanadams @ZacGoldsmith I wonder if that includes noise pollution?";;@bryanadams @ZacGoldsmith;;"727843079047286784";https://twitter.com/JackDannyEsq/status/727843079047286784
DermotMeagher;2016-05-04 20:51;0;0;"Please Londoners, vote @ZacGoldsmith for God's sake!!! Think of your children..... #LondonMayor2016 https:// twitter.com/KTHopkins/stat us/727810615968972800 …";;@ZacGoldsmith;#LondonMayor2016;"727843067466809344";https://twitter.com/DermotMeagher/status/727843067466809344
JamieJones77;2016-05-04 20:51;2;1;"@david_cameron @zacgoldsmith How's the detoxification of the #Tory Party going? Not so well eh? #NastyZac #NastyParty #Tories #DogWhistle";;@david_cameron @zacgoldsmith;#Tory #NastyZac #NastyParty #Tories #DogWhistle;"727843027138531328";https://twitter.com/JamieJones77/status/727843027138531328
richard75941061;2016-05-04 20:51;0;0;"@xeccar @Reprobatemum @ZacGoldsmith Ask yourself this question. What is the reason a person chooses to be a black taxi driver rather 1/2";;@xeccar @Reprobatemum @ZacGoldsmith;;"727843006343204864";https://twitter.com/richard75941061/status/727843006343204864
GasEnergyUnion;2016-05-04 20:51;0;0;"Politico: London Evening Standard endorses Zac Goldsmith for Mayor http:// ift.tt/1W8MR75 #EnergyUnion pic.twitter.com/iFTyecthYk";;;#EnergyUnion;"727842992191582208";https://twitter.com/GasEnergyUnion/status/727842992191582208
kathy279;2016-05-04 20:50;0;0;"@RossLydall @ZacGoldsmith Even5ng Standard backing a loser. What else is new? At least there is no more pretence from the Evening Bore.";;@RossLydall @ZacGoldsmith;;"727842896741797888";https://twitter.com/kathy279/status/727842896741797888
PARRY1956;2016-05-04 20:50;125;34;"Questions over Zac Goldsmith 's election expenses - #c4news http://www. channel4.com/news/questions -over-zac-goldsmiths-election-expenses … PLEASE RT #toryelectionscandal";;;#c4news #toryelectionscandal;"727842799769559040";https://twitter.com/PARRY1956/status/727842799769559040
catflink;2016-05-04 20:50;0;0;"Zac goldsmith is so SINISTER";;;;"727842766412230656";https://twitter.com/catflink/status/727842766412230656
